Student_Id,Question_Id,Answer_Score,Attempt_Count
1,1,0,1
1,1,0,2
1,1,0,3
1,1,0,4
1,2,0,1
1,2,0,2
1,2,1,3
1,2,1,4
1,3,0,1
1,3,0,2
1,3,1,3
1,3,0,4
1,4,1,1
1,4,0,2
1,4,1,3
1,4,0,4
1,5,0,1
1,5,0,2
1,5,1,3
1,5,1,4
2,1,0,1
2,1,1,2
2,1,1,3
2,1,0,4
2,2,0,1
2,2,1,2
2,2,1,3
2,2,1,4
2,3,0,1
2,3,0,2
2,3,1,3
2,3,1,4
2,4,1,1
2,4,0,2
2,4,1,3
2,4,1,4
2,5,0,1
2,5,0,2
2,5,0,3
2,5,1,4
3,1,0,1
3,1,1,2
3,1,1,3
3,1,1,4
3,2,1,1
3,2,1,2
3,2,1,3
3,2,1,4
3,3,0,1
3,3,1,2
3,3,1,3
3,3,1,4
3,4,0,1
3,4,0,2
3,4,1,3
3,4,1,4
3,5,0,1
3,5,1,2
3,5,0,3
3,5,1,4
4,1,0,1
4,1,0,2
4,1,1,3
4,1,0,4
4,2,0,1
4,2,0,2
4,2,0,3
4,2,0,4
4,3,0,1
4,3,0,2
4,3,1,3
4,3,1,4
4,4,0,1
4,4,0,2
4,4,1,3
4,4,1,4
4,5,0,1
4,5,0,2
4,5,1,3
4,5,1,4
5,1,1,1
5,1,0,2
5,1,0,3
5,1,0,4
5,2,0,1
5,2,0,2
5,2,1,3
5,2,1,4
5,3,0,1
5,3,1,2
5,3,1,3
5,3,1,4
5,4,0,1
5,4,0,2
5,4,0,3
5,4,1,4
5,5,0,1
5,5,0,2
5,5,0,3
5,5,1,4
6,1,1,1
6,1,0,2
6,1,1,3
6,1,1,4
6,2,0,1
6,2,1,2
6,2,1,3
6,2,1,4
6,3,0,1
6,3,0,2
6,3,1,3
6,3,1,4
6,4,0,1
6,4,0,2
6,4,1,3
6,4,1,4
6,5,0,1
6,5,1,2
6,5,1,3
6,5,1,4
7,1,1,1
7,1,0,2
7,1,0,3
7,1,1,4
7,2,0,1
7,2,1,2
7,2,0,3
7,2,1,4
7,3,1,1
7,3,0,2
7,3,1,3
7,3,0,4
7,4,0,1
7,4,1,2
7,4,1,3
7,4,1,4
7,5,0,1
7,5,0,2
7,5,0,3
7,5,1,4
8,1,1,1
8,1,0,2
8,1,1,3
8,1,1,4
8,2,0,1
8,2,0,2
8,2,1,3
8,2,1,4
8,3,0,1
8,3,0,2
8,3,0,3
8,3,1,4
8,4,0,1
8,4,1,2
8,4,1,3
8,4,1,4
8,5,0,1
8,5,1,2
8,5,0,3
8,5,0,4
9,1,0,1
9,1,1,2
9,1,1,3
9,1,0,4
9,2,0,1
9,2,0,2
9,2,0,3
9,2,1,4
9,3,0,1
9,3,0,2
9,3,0,3
9,3,1,4
9,4,0,1
9,4,0,2
9,4,1,3
9,4,1,4
9,5,0,1
9,5,0,2
9,5,1,3
9,5,0,4
10,1,0,1
10,1,0,2
10,1,1,3
10,1,1,4
10,2,1,1
10,2,1,2
10,2,1,3
10,2,1,4
10,3,0,1
10,3,1,2
10,3,0,3
10,3,0,4
10,4,0,1
10,4,0,2
10,4,1,3
10,4,1,4
10,5,0,1
10,5,1,2
10,5,1,3
10,5,1,4
11,1,0,1
11,1,1,2
11,1,1,3
11,1,1,4
11,2,0,1
11,2,0,2
11,2,0,3
11,2,1,4
11,3,0,1
11,3,1,2
11,3,1,3
11,3,1,4
11,4,1,1
11,4,0,2
11,4,1,3
11,4,1,4
11,5,0,1
11,5,1,2
11,5,1,3
11,5,0,4
12,1,0,1
12,1,1,2
12,1,0,3
12,1,0,4
12,2,0,1
12,2,0,2
12,2,1,3
12,2,1,4
12,3,0,1
12,3,0,2
12,3,1,3
12,3,1,4
12,4,0,1
12,4,0,2
12,4,1,3
12,4,1,4
12,5,0,1
12,5,1,2
12,5,0,3
12,5,1,4
13,1,0,1
13,1,0,2
13,1,1,3
13,1,1,4
13,2,0,1
13,2,1,2
13,2,0,3
13,2,1,4
13,3,0,1
13,3,0,2
13,3,1,3
13,3,1,4
13,4,0,1
13,4,1,2
13,4,0,3
13,4,1,4
13,5,0,1
13,5,1,2
13,5,1,3
13,5,1,4
14,1,1,1
14,1,0,2
14,1,1,3
14,1,1,4
14,2,0,1
14,2,0,2
14,2,1,3
14,2,1,4
14,3,0,1
14,3,0,2
14,3,0,3
14,3,1,4
14,4,0,1
14,4,1,2
14,4,1,3
14,4,1,4
14,5,0,1
14,5,1,2
14,5,0,3
14,5,1,4
15,1,0,1
15,1,0,2
15,1,1,3
15,1,1,4
15,2,1,1
15,2,1,2
15,2,1,3
15,2,1,4
15,3,0,1
15,3,0,2
15,3,1,3
15,3,1,4
15,4,0,1
15,4,0,2
15,4,1,3
15,4,1,4
15,5,0,1
15,5,0,2
15,5,0,3
15,5,1,4
16,1,0,1
16,1,0,2
16,1,0,3
16,1,0,4
16,2,0,1
16,2,0,2
16,2,1,3
16,2,1,4
16,3,0,1
16,3,1,2
16,3,1,3
16,3,1,4
16,4,0,1
16,4,0,2
16,4,1,3
16,4,1,4
16,5,1,1
16,5,0,2
16,5,1,3
16,5,0,4
17,1,0,1
17,1,0,2
17,1,0,3
17,1,1,4
17,2,1,1
17,2,1,2
17,2,1,3
17,2,1,4
17,3,0,1
17,3,1,2
17,3,1,3
17,3,1,4
17,4,1,1
17,4,0,2
17,4,1,3
17,4,1,4
17,5,0,1
17,5,0,2
17,5,1,3
17,5,0,4
18,1,0,1
18,1,0,2
18,1,1,3
18,1,1,4
18,2,0,1
18,2,1,2
18,2,1,3
18,2,1,4
18,3,0,1
18,3,0,2
18,3,1,3
18,3,1,4
18,4,0,1
18,4,1,2
18,4,1,3
18,4,1,4
18,5,0,1
18,5,1,2
18,5,1,3
18,5,1,4
19,1,1,1
19,1,0,2
19,1,1,3
19,1,0,4
19,2,0,1
19,2,1,2
19,2,1,3
19,2,0,4
19,3,0,1
19,3,0,2
19,3,0,3
19,3,1,4
19,4,0,1
19,4,0,2
19,4,0,3
19,4,1,4
19,5,0,1
19,5,0,2
19,5,1,3
19,5,1,4
20,1,0,1
20,1,1,2
20,1,1,3
20,1,0,4
20,2,1,1
20,2,0,2
20,2,1,3
20,2,1,4
20,3,0,1
20,3,1,2
20,3,0,3
20,3,1,4
20,4,0,1
20,4,0,2
20,4,1,3
20,4,0,4
20,5,1,1
20,5,0,2
20,5,1,3
20,5,1,4
21,1,0,1
21,1,1,2
21,1,1,3
21,1,1,4
21,2,0,1
21,2,0,2
21,2,1,3
21,2,1,4
21,3,0,1
21,3,1,2
